File Name	GCMF File Name	Address	Attributes	Origin	Radius	Texturecount	Materialcount	Translucidmaterialcount	Transformmatrixcount	Zero_0x1F	Indicesrelptr	Zero_0x24	Transformmatrixdefaultindices	Texture	TransformMatrix	Material	
	bg_big,lz.gma	0004E780	0	(-45.0, 128.0, -107.0)	138.401	35	13	2	0	0	1184	0	X	X	X	X	
	bg_big,lz.gma	00054060	0	(0.0, 96.0, -106.0)	45.22168	5	1	1	0	0	224	0	X	X	X	X	
	bg_big,lz.gma	00055CC0	0	(45.0, 128.0, -107.0)	138.401	43	16	2	0	0	1440	0	X	X	X	X	
	null
	bg_big,lz.gma	0005B740	0	(0.0, 2125.3, 0.0)	22556.18	3	2	1	0	0	160	0	X	X	X	X	
	null
	bg_big,lz.gma	00060A00	0	(0.0, 0.0, 0.0)	7.071068	1	1	0	0	0	96	0	X	X	X	X	
	bg_big,lz.gma	00060B60	0	(0.0, 0.1, 1.1)	5.48095	6	5	1	0	0	256	0	X	X	X	X	
	null
	bg_big,lz.gma	00061D60	0	(-0.7, 7.5, 0.0)	8.605963	5	3	1	0	0	224	0	X	X	X	X	
	bg_big,lz.gma	00063020	_16Bit	(0.0, 0.0, -1.5)	1.59521	4	3	0	0	0	192	0	X	X	X	X	
	bg_big,lz.gma	00063A60	0	(8.4, 0.0, 0.0)	40.88021	2	0	1	0	0	128	0	X	X	X	X	
	bg_big,lz.gma	00063D80	0	(0.0, 1.3, 4.5)	20.67925	44	17	5	0	0	1472	0	X	X	X	X	
	null
	bg_big,lz.gma	00073BC0	0	(0.0, 4.4, 16.8)	25.03982	30	15	0	0	0	1024	0	X	X	X	X	
	null
	bg_big,lz.gma	0007E760	0	(0.0, 1.3, 4.5)	20.67925	50	20	5	0	0	1664	0	X	X	X	X	
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	bg_big,lz.gma	00087420	0	(0.0, 114.0, 49.0)	123.7585	34	13	2	0	0	1152	0	X	X	X	X	
	bg_big,lz.gma	0008C740	0	(0.0, 0.0, 0.0)	7.071068	1	1	0	0	0	96	0	X	X	X	X	
	bg_big,lz.gma	0008C8A0	0	(0.0, 76.0, -31.0)	91.66245	14	6	3	0	0	512	0	X	X	X	X	
	bg_big,lz.gma	0008DF60	0	(72.7, 32.0, 72.7)	106.7576	57	21	8	0	0	1888	0	X	X	X	X	
	bg_big,lz.gma	0009FBE0	_16Bit	(0.0, 0.0, -0.9)	0.9722948	2	2	0	0	0	128	0	X	X	X	X	
	null
	null
	null
	null
	null
	bg_big,lz.gma	000A0320	0	(0.0, -12.8, 0.0)	166.1702	64	28	8	0	0	2112	0	X	X	X	X	
	null
	bg_big,lz.gma	000BEDE0	0	(0.0, -50.0, 0.0)	50.9902	3	0	1	0	0	160	0	X	X	X	X	
	null
	null
	bg_big,lz.gma	000BFD60	0	(0.0, 2125.3, 0.0)	22556.18	3	2	1	0	0	160	0	X	X	X	X	
	null
	bg_big,lz.gma	000C5020	0	(-169.3, 1.5, -38.3)	49.19272	12	12	0	0	0	448	0	X	X	X	X	
	bg_big,lz.gma	000C8440	0	(0.0, -73.6, -0.2)	65.35744	3	3	0	0	0	160	0	X	X	X	X	
	bg_big,lz.gma	000C9040	0	(0.0, 1.5, 0.0)	56.11277	12	12	0	0	0	448	0	X	X	X	X	
	null
	null
	null
	null
	bg_big,lz.gma	000CBC60	0	(0.0, 0.0, 0.0)	7.071068	1	1	0	0	0	96	0	X	X	X	X	
	bg_big,lz.gma	000CBDC0	0	(0.0, 0.0, 0.0)	3098.537	1	0	1	0	0	96	0	X	X	X	X	
bg_big_s,lz.gma	bg_big_s,lz.gma	000002C0	0	(21.3, 726.1, 0.0)	993.4577	23	13	1	0	0	800	0	X	X	X	X	
	bg_big_s,lz.gma	00015C60	0	(0.0, 206.0, 0.0)	228.8294	16	13	3	0	0	576	0	X	X	X	X	
	bg_big_s,lz.gma	0002B660	0	(-3.0, 0.0, 0.0)	15.98611	5	4	1	0	0	224	0	X	X	X	X	
	bg_big_s,lz.gma	0002FAE0	0	(3328.2, 363.6, -435.3)	442.7322	4	2	0	0	0	192	0	X	X	X	X	
	bg_big_s,lz.gma	00033C80	0	(3389.7, 363.6, -1243.2)	439.0475	2	1	0	0	0	128	0	X	X	X	X	
	bg_big_s,lz.gma	00035CE0	0	(3392.6, 363.5, -2078.7)	435.5019	2	1	0	0	0	128	0	X	X	X	X	
	bg_big_s,lz.gma	00037D40	0	(3372.9, 363.6, -2892.1)	434.1272	2	1	0	0	0	128	0	X	X	X	X	
